Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.937399999999999878e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000089645385742188e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000598907470703125e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001151084899902344e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.001315355300903320e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.001597881317138672e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.001950025558471680e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.002180576324462891e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.937399999999999878e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.002263307571411133e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.927700000000000102e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.002368450164794922e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000276970863342285e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.927700000000000102e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100322556495666504e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.932600000000000051e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200343894958496094e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.932600000000000051e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300374627113342285e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.937399999999999878e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400385427474975586e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.942299999999999827e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500403022766113281e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.942299999999999827e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.600426125526428223e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.937399999999999878e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.700437283515930176e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.937399999999999878e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.800463414192199707e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.952100000000000080e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.900498175621032715e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.942299999999999827e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000547575950622559e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.957000000000000028e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.100607275962829590e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.976500000000000057e+01,2.927700000000000102e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.200641942024230957e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.971699999999999875e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.300665020942687988e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.981400000000000006e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.400706791877746582e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.986299999999999955e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.500752878189086914e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.981400000000000006e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.600787615776062012e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.996099999999999852e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.700824308395385742e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.015599999999999881e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.800868010520935059e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.900916194915771484e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.035200000000000031e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.000957393646240234e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.035200000000000031e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.100987672805786133e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.200992631912231445e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.301014423370361328e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.044999999999999929e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.401051044464111328e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.069399999999999906e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.501106309890747070e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.079200000000000159e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.601128435134887695e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.701189804077148438e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.074299999999999855e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.801215767860412598e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.079200000000000159e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.901238012313842773e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.089000000000000057e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.001276445388793945e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.103600000000000136e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.101286077499389648e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.113400000000000034e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.201317453384399414e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.118299999999999983e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.301355218887329102e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.128099999999999881e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.401403617858886719e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.132900000000000063e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.501418685913085938e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.137800000000000011e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.601478147506713867e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.132900000000000063e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.701492547988891602e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.147599999999999909e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.801506876945495605e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.132900000000000063e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.901518440246582031e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.157400000000000162e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.001533842086791992e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.171999999999999886e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.101545023918151855e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.171999999999999886e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.201587867736816406e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.176899999999999835e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.301639366149902344e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.181800000000000139e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.401688051223754883e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.186700000000000088e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.501699852943420410e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.196499999999999986e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.601754164695739746e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.215999999999999659e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.701767683029174805e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.225800000000000267e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.801815748214721680e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.230700000000000216e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.901862525939941406e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.230700000000000216e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.001932716369628906e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.235600000000000165e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.101968145370483398e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.235600000000000165e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.202016568183898926e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.240500000000000114e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.302054643630981445e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.264900000000000091e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.402075886726379395e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.269800000000000040e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.502122235298156738e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.274699999999999989e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.602141809463500977e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.274699999999999989e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.702171492576599121e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.284499999999999886e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.802214837074279785e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.279599999999999937e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
