Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.069399999999999906e+01,3.098699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010458946228027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.079200000000000159e+01,3.113400000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.011691570281982422e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.089000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.012330532073974609e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.093799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.013791561126708984e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.015321493148803711e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.069399999999999906e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.016588449478149414e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.098699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.019014835357666016e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.059600000000000009e+01,3.089000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.020055532455444336e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.108500000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.021072626113891602e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.064499999999999957e+01,3.108500000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.002189874649047852e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.059600000000000009e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.102265071868896484e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.049899999999999878e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.202370023727416992e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.079200000000000159e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.302517080307006836e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.064499999999999957e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.402607655525207520e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.049899999999999878e+01,3.098699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.502797865867614746e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.069399999999999906e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.602890253067016602e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.064499999999999957e+01,3.093799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.703003764152526855e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.064499999999999957e+01,3.093799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.804502415657043457e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.084100000000000108e+01,3.113400000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.904696035385131836e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.084100000000000108e+01,3.103600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.004827570915222168e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.093799999999999883e+01,3.118299999999999983e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.104927849769592285e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.093799999999999883e+01,3.137800000000000011e+01,2.300000000000000000e+01,2.300000000000000000e+01
