Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.709700000000000131e+01,3.650999999999999801e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.003252267837524414e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.699900000000000233e+01,3.650999999999999801e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.007738351821899414e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.685199999999999676e+01,3.655899999999999750e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.011443614959716797e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.690100000000000335e+01,3.646099999999999852e+01,4.000000000000000000e+01,4.000000000000000000e+01
4.013034343719482422e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.695000000000000284e+01,3.655899999999999750e+01,4.000000000000000000e+01,4.000000000000000000e+01
5.026998281478881836e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.660799999999999699e+01,3.636399999999999721e+01,4.000000000000000000e+01,4.000000000000000000e+01
6.032348871231079102e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.680400000000000205e+01,3.646099999999999852e+01,4.000000000000000000e+01,4.000000000000000000e+01
7.042814731597900391e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.665699999999999648e+01,3.660799999999999699e+01,4.000000000000000000e+01,4.000000000000000000e+01
8.045202493667602539e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.670600000000000307e+01,3.670600000000000307e+01,4.000000000000000000e+01,4.000000000000000000e+01
9.060783386230468750e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.646099999999999852e+01,3.709700000000000131e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.006531810760498047e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.650999999999999801e+01,3.695000000000000284e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.107542395591735840e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.655899999999999750e+01,3.704800000000000182e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.207692098617553711e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.660799999999999699e+01,3.734100000000000108e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.308936047554016113e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.660799999999999699e+01,3.743900000000000006e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.409283161163330078e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.646099999999999852e+01,3.753699999999999903e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.509469032287597656e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.660799999999999699e+01,3.778099999999999881e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.610548353195190430e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.655899999999999750e+01,3.797699999999999676e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.711225819587707520e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.646099999999999852e+01,3.797699999999999676e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.812460708618164062e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.641299999999999670e+01,3.827000000000000313e+01,4.000000000000000000e+01,4.000000000000000000e+01
1.913447952270507812e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.665699999999999648e+01,3.856300000000000239e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.014929699897766113e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.660799999999999699e+01,3.890500000000000114e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.115908765792846680e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.655899999999999750e+01,3.895400000000000063e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.217354750633239746e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.670600000000000307e+01,3.919800000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.318190956115722656e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.675500000000000256e+01,3.929599999999999937e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.419265723228454590e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.675500000000000256e+01,3.954099999999999682e+01,4.000000000000000000e+01,4.000000000000000000e+01
