Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.844600000000000151e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000513315200805664e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001203060150146484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.849500000000000099e+01,2.869000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001698732376098633e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.878800000000000026e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002274513244628906e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.002542018890380859e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.003056049346923828e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834799999999999898e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.003417491912841797e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834799999999999898e+01,2.864099999999999824e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.003837585449218750e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.883699999999999974e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.004361391067504883e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834799999999999898e+01,2.864099999999999824e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000482010841369629e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.854299999999999926e+01,2.854299999999999926e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100529384613037109e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.849500000000000099e+01,2.869000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200547480583190918e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.854299999999999926e+01,2.864099999999999824e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300579023361206055e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.839699999999999847e+01,2.864099999999999824e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400626635551452637e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.834799999999999898e+01,2.869000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500661659240722656e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.839699999999999847e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.600692391395568848e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.844600000000000151e+01,2.873900000000000077e+01,2.300000000000000000e+01,2.300000000000000000e+01
